sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
85641,line,highway,tertiary,1000,330.20175602997926
8640,line,highway,cycleway,1000,2481.8387803917835
72607,line,man_made,reservoir_covered,1000,482.3825941912804
85641,line,highway,primary,1000,3312.23112971356
8640,line,highway,service,500,1008.7145063512976
8640,line,highway,footway,500,67.72498256679746
85641,line,highway,service,500,180.91063468055904
83499,line,highway,tertiary,500,695.1968934786331
8640,line,highway,track,500,62.40720094264388
72607,line,waterway,stream,1000,2515.703524091801
86369,line,waterway,stream,500,1145.1973988212246
72607,line,highway,residential,1000,24687.11778161932
84721,line,waterway,stream,1000,1120.0995718728802
72607,line,highway,residential,500,5910.496823226121
86369,line,highway,motorway,1000,2022.802689054689
86369,line,highway,service,1000,10051.73373291691
85641,line,highway,service,1000,6811.815517319989
81541,line,highway,tertiary,1000,3064.216088587707
66029,line,waterway,stream,500,727.9309579507483
81541,line,highway,service,1000,9620.10434657918
86369,line,highway,secondary_link,1000,69.77898314172602
66029,line,highway,secondary_link,1000,27.59762031946721
83081,line,highway,secondary,1000,3716.693511198701
85641,line,highway,steps,1000,34.461309058628075
81541,line,highway,footway,100,662.2276194558194
83081,line,highway,track,1000,690.6553063418186
81081,line,highway,residential,1000,20491.67849162076
72607,line,highway,service,1000,8111.42868131064
72607,line,highway,steps,1000,54.620421032104105
72607,line,highway,tertiary,500,612.3945270226457
66029,line,waterway,stream,1000,1931.065701047924
84721,line,highway,residential,1000,30630.414407842218
84721,line,highway,residential,100,180.20482374883088
81541,line,highway,secondary,1000,7520.411022112576
66029,line,highway,tertiary,1000,1887.3675637428423
8640,line,highway,cycleway,100,32.42047389754144
66029,line,man_made,pier,1000,24.274107317538345
72607,point,highway,traffic_signals,1000,2.0
66029,point,highway,turning_circle,500,4.0
8640,point,highway,turning_circle,1000,19.0
81541,point,highway,crossing,1000,360.0
86369,point,highway,bus_stop,1000,5.0
66029,point,highway,stop,1000,6.0
81081,point,highway,stop,100,1.0
84721,point,highway,turning_circle,1000,13.0
81081,point,highway,crossing,100,4.0
72607,point,highway,turning_circle,500,2.0
66029,point,highway,crossing,1000,4.0
83081,point,highway,mini_roundabout,500,1.0
83081,point,highway,traffic_signals,1000,2.0
85641,point,highway,bus_stop,500,1.0
8640,point,highway,traffic_signals,500,1.0
83499,point,highway,stop,500,9.0
84721,point,highway,bus_stop,1000,29.0
83499,point,highway,turning_loop,1000,1.0
83081,point,highway,mini_roundabout,1000,1.0
85641,point,highway,traffic_signals,1000,2.0
86369,point,highway,turning_circle,1000,5.0
72607,point,highway,crossing,500,6.0
83499,point,highway,turning_circle,1000,21.0
83081,point,highway,turning_circle,1000,26.0
81541,point,highway,bus_stop,500,1.0
84721,point,highway,bus_stop,500,8.0
83081,point,highway,crossing,1000,8.0
72607,point,highway,crossing,1000,12.0
72607,point,highway,bus_stop,1000,16.0
81081,point,highway,turning_circle,500,13.0
8640,point,highway,traffic_signals,1000,2.0
85641,point,highway,turning_circle,1000,1.0
81081,point,highway,turning_circle,1000,42.0
8640,point,highway,stop,1000,3.0
81541,point,highway,bus_stop,1000,3.0
83081,point,highway,traffic_signals,500,1.0
83081,point,highway,stop,1000,16.0
8640,point,highway,stop,500,1.0
84721,point,highway,traffic_signals,1000,1.0
83499,point,highway,crossing,500,16.0
81081,point,highway,traffic_signals,500,2.0
81541,point,highway,turning_circle,1000,5.0
8640,point,highway,turning_circle,500,9.0
84721,point,highway,stop,1000,2.0
81081,point,highway,traffic_signals,1000,10.0
86369,point,highway,stop,1000,16.0
84721,point,highway,crossing,500,1.0
83081,point,highway,stop,500,2.0
81541,point,highway,stop,1000,56.0
66029,point,highway,traffic_signals,1000,5.0
84721,point,highway,crossing,1000,9.0
85641,point,highway,traffic_signals,500,1.0
83081,point,highway,turning_circle,500,11.0
83499,point,highway,stop,1000,40.0
83499,point,highway,turning_circle,500,4.0
85641,point,highway,stop,1000,6.0
72607,point,highway,traffic_signals,500,1.0
81081,point,highway,crossing,500,29.0
85641,point,highway,crossing,1000,4.0
84721,point,highway,turning_circle,500,1.0
83499,point,highway,traffic_signals,1000,1.0
83499,point,highway,crossing,1000,46.0
81541,point,highway,traffic_signals,500,3.0
86369,point,highway,traffic_signals,1000,7.0
72607,point,highway,bus_stop,500,6.0
81541,point,highway,give_way,1000,1.0
83081,point,highway,crossing,500,4.0
85641,point,highway,bus_stop,1000,5.0
81081,point,highway,bus_stop,1000,5.0
66029,point,highway,bus_stop,1000,2.0
84721,point,highway,traffic_signals,500,1.0
86369,point,highway,bus_stop,500,2.0
81541,point,highway,traffic_signals,1000,8.0
72607,point,highway,turning_circle,1000,8.0
81081,point,highway,crossing,1000,103.0
86369,point,highway,crossing,1000,35.0
81541,point,highway,stop,500,7.0
66029,point,highway,stop,500,1.0
81081,point,highway,stop,1000,11.0
86369,point,highway,street_lamp,1000,70.0
81081,point,highway,stop,500,6.0
66029,point,highway,turning_circle,1000,11.0
81541,point,highway,crossing,500,90.0
86369,point,highway,motorway_junction,1000,1.0
86369,point,highway,crossing,500,3.0
81081,polygon,landuse,grass,500,701.9985671169317
81541,polygon,building,carport,500,117.34937258274658
81541,polygon,building,retail,1000,42269.04307560818
83081,polygon,building,residential,500,5850.212904498965
66029,polygon,landuse,residential,500,345657.45634541946
81081,polygon,building,roof,1000,688.9460472717551
86369,polygon,landuse,retail,1000,11254.91579234224
81541,polygon,amenity,parking,1000,41049.93703541079
83499,polygon,amenity,school,1000,71944.70654169549
8640,polygon,landuse,residential,1000,120759.86344824044
84721,polygon,tourism,guest_house,1000,288.0141306273096
83499,polygon,tourism,picnic_site,1000,5524.684249003176
83081,polygon,building,house,1000,381744.566234792
83081,polygon,building,commercial,500,852.8258476714253
81081,polygon,landuse,retail,1000,20945.239758694028
84721,polygon,building,house,500,17135.40377480735
81081,polygon,natural,scrub,500,25797.791459541288
83499,polygon,building,government,1000,64.76645152153058
81541,polygon,amenity,place_of_worship,1000,37971.72753233804
81541,polygon,building,semidetached_house,1000,16840.95792215932
81081,polygon,landuse,recreation_ground,1000,59.45823413424796
8640,polygon,amenity,school,1000,55046.27224289229
86369,polygon,building,roof,1000,208.68902632291477
83499,polygon,amenity,place_of_worship,1000,1107.9294766906205
83499,polygon,building,church,1000,1461.7279349425658
85641,polygon,tourism,motel,1000,899.3998543348148
81541,polygon,landuse,residential,1000,2424189.2969393227
84721,polygon,building,house,100,426.2827970479912
86369,polygon,amenity,bank,1000,685.7575665583817
83081,polygon,amenity,school,100,27746.20931361062
85641,polygon,tourism,attraction,1000,325.7978041072968
81541,polygon,building,office,500,2195.137571693399
86369,polygon,building,house,500,986.9574846361865
83081,polygon,landuse,residential,500,14674.797685193404
81081,polygon,amenity,fuel,1000,161.6650690037349
83499,polygon,amenity,parking,1000,4561.496179076112
72607,polygon,landuse,residential,500,736101.9414260214
83081,polygon,building,commercial,1000,3668.659517416103
81541,polygon,building,roof,1000,4707.879352505954
83499,polygon,building,residential,500,1880.1599837422468
83081,polygon,building,retail,1000,8555.00102765683
83081,polygon,amenity,parking,1000,12602.93458541122
81541,polygon,building,school,500,7379.404606707353
81081,polygon,natural,wood,500,49984.72368238424
83081,polygon,natural,scrub,1000,79.87169933461236
81541,polygon,building,apartments,500,4658.456107730937
72607,polygon,landuse,retail,1000,103623.35076321589
72607,polygon,landuse,residential,100,31214.451523088497
83081,polygon,amenity,school,1000,218822.74225819545
66029,polygon,natural,water,500,1.530745402918392
81081,polygon,amenity,school,1000,59052.68086623082
8640,polygon,building,house,500,212.78945723661045
81541,polygon,tourism,picnic_site,500,69.49992979908448
81541,polygon,building,semidetached_house,500,3540.559367847888
85641,polygon,amenity,parking,1000,10281.655363637035
81081,polygon,amenity,parking,1000,6458.224847894222
81541,polygon,amenity,school,500,54132.660750119045
72607,polygon,landuse,retail,500,32984.637073177204
85641,polygon,amenity,school,1000,25341.660035077548
83081,polygon,landuse,residential,1000,122829.94905304616
83499,polygon,landuse,residential,500,42662.26027560236
8640,polygon,amenity,library,1000,328.16991386737266
72607,polygon,building,house,1000,12786.41927788184
66029,polygon,natural,water,1000,10862.1139758698
83499,polygon,tourism,picnic_site,500,5524.684249003176
81081,polygon,landuse,meadow,1000,1720.2296972953116
84721,polygon,amenity,school,500,5189.355383503775
8640,polygon,natural,water,500,1999.4017142387356
83499,polygon,amenity,community_centre,1000,2679.612734416922
81541,polygon,building,commercial,1000,3289.7016928188486
81541,polygon,building,house,1000,5169.407487564567
84721,polygon,building,house,1000,107255.96968357204
84721,polygon,building,garage,500,848.8205841445779
85641,polygon,amenity,restaurant,1000,928.8555920804718
86369,polygon,amenity,fuel,1000,2077.3009369714005
83499,polygon,building,office,1000,4343.705312448789
81541,polygon,building,carport,1000,784.1875516839009
81541,polygon,tourism,picnic_site,1000,69.49992979908448
81541,polygon,landuse,residential,100,31214.451522507174
83499,polygon,landuse,religious,1000,16978.833205437575
66029,polygon,landuse,residential,1000,1156352.1916908757
72607,polygon,amenity,parking,500,10859.327627012708
81541,polygon,amenity,fast_food,1000,162.43040762245485
81541,polygon,building,stadium,1000,284.8210349025475
66029,polygon,amenity,parking,1000,31651.42325636768
81541,polygon,building,shed,500,381.47064233810977
81081,polygon,amenity,school,500,13130.379470441669
8640,polygon,building,house,1000,212.78945723661045
81541,polygon,natural,wood,1000,1235.457488655646
81541,polygon,building,office,1000,2832.422723980897
66029,polygon,building,residential,1000,116.92875217931544
72607,polygon,amenity,shelter,1000,22.891736309751455
8640,polygon,natural,water,1000,13234.93749877009
85641,polygon,amenity,place_of_worship,1000,1157.2826809698597
81541,polygon,building,retail,500,2165.973112575325
66029,polygon,natural,scrub,1000,5832.404583700503
83081,polygon,amenity,school,500,123078.89260025384
81541,polygon,landuse,commercial,1000,86419.55820401007
84721,polygon,amenity,school,1000,11799.749118512766
81541,polygon,building,detached,1000,272924.6461469059
83081,polygon,landuse,retail,1000,30001.070260486187
83081,polygon,building,school,1000,10997.157607032346
81081,polygon,landuse,residential,100,31214.451522617263
85641,polygon,amenity,bank,1000,2214.350865213996
86369,polygon,natural,wood,1000,62515.14176246992
86369,polygon,amenity,pharmacy,1000,1186.6065022964528
81081,polygon,landuse,residential,500,647943.689753335
81541,polygon,building,detached,500,54151.88984858855
81081,polygon,building,house,1000,790.5499743900656
81541,polygon,building,toilets,500,43.87192949957414
83499,polygon,amenity,clinic,1000,2611.988898702011
72607,polygon,natural,wood,1000,1598.7890089659827
81541,polygon,amenity,school,1000,206694.28653323004
81541,polygon,building,garage,1000,1748.344168390753
81541,polygon,building,toilets,1000,43.87192949957414
85641,polygon,building,house,1000,5135.245273115549
81081,polygon,landuse,residential,1000,2028397.524726889
83499,polygon,building,house,500,77127.38501530493
83499,polygon,building,house,1000,350941.1950359704
81541,polygon,building,stadium,500,284.8210349025475
72607,polygon,amenity,parking,1000,34867.29526065112
81081,polygon,natural,wood,1000,329088.38077557844
81081,polygon,natural,scrub,1000,646353.1169445857
81541,polygon,landuse,commercial,500,53173.99510094983
66029,polygon,landuse,residential,100,17775.830376456874
86369,polygon,amenity,cinema,1000,1613.3864599053911
86369,polygon,building,garage,1000,57.5183008784872
8640,polygon,tourism,museum,1000,659.6359514466894
81541,polygon,building,church,1000,1322.2890937025052
66029,polygon,amenity,school,1000,76953.46431780246
83499,polygon,landuse,residential,1000,696512.7022841357
85641,polygon,landuse,commercial,1000,1273.6683723537271
84721,polygon,building,garage,1000,4175.529952923464
81541,polygon,building,apartments,1000,24535.014747774563
72607,polygon,amenity,fire_station,1000,832.1771183363403
81541,polygon,building,hotel,1000,683.8937848326976
81541,polygon,building,commercial,500,1621.841207751074
81541,polygon,building,roof,500,7.74818111253773
85641,polygon,building,office,1000,742.8927108453252
81541,polygon,building,garage,500,643.2835069797617
86369,polygon,landuse,residential,1000,5663.776087122289
72607,polygon,landuse,meadow,1000,5487.730120684858
81081,polygon,landuse,grass,1000,7627.788357399128
66029,polygon,landuse,commercial,1000,100670.19350497474
83499,polygon,amenity,school,500,35741.754519531365
81541,polygon,building,school,1000,32094.287210774703
83499,polygon,building,apartments,1000,6724.7407538575935
86369,polygon,building,house,1000,25829.49433159487
83499,polygon,building,apartments,500,247.1070503056438
83081,polygon,building,house,500,113437.59757469516
81541,polygon,building,house,500,1543.0232994763
83499,polygon,building,house,100,4673.007113418236
83081,polygon,building,residential,1000,48861.51277804792
81541,polygon,landuse,retail,1000,132975.65456023364
81541,polygon,building,shed,1000,956.260746483505
72607,polygon,landuse,residential,1000,2519563.8012410486
81541,polygon,landuse,residential,500,578695.3400664154
72607,polygon,amenity,school,1000,10287.489710545988
86369,polygon,amenity,parking,1000,49589.07204019788
85641,polygon,building,house,500,4825.482733316547
81541,polygon,amenity,shelter,1000,164.9092166732968
66029,polygon,amenity,place_of_worship,1000,679.8782272352497
83499,polygon,building,school,1000,288.0762433270256
72607,polygon,building,school,1000,2546.669713931921
83499,polygon,building,residential,1000,11928.913474625522
81541,polygon,tourism,motel,1000,683.8937848326976
